Unnamed: 0,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious
3146,52524685,sett24_4,3146,12,3000,1500,0.9,0.1,8,4,0.25,0.65,600,0.14,0.5,1500.0,1435.0,998.8333333333334,0.0,1363.4244875802008,947.6177880465426
3147,66538243,sett24_4,3147,9,3500,3500,0.15,0.9,8,9,0.3,0.45,700,0.12,1.0,60.0,560.0,19.2,0.0,280.0,9.6
3148,25860333,sett24_4,3148,4,1500,750,0.35,0.75,3,1,0.05,0.9,300,0.18,0.5,83.66666666666667,200.0,4.666666666666667,66.13790306792484,141.4213562373095,6.599663291074443
3149,227310,sett24_4,3149,11,3000,3000,0.95,0.05,7,8,0.2,0.6,600,0.36,1.0,2848.0,1418.5,1337.3333333333333,93.05553897180616,1393.3637656166222,1317.1471275281117
3150,81523768,sett24_4,3150,4,1500,750,0.35,0.85,1,10,0.2,0.05,300,0.12,0.5,73.0,0.0,0.0,42.10304818735416,0.0,0.0
3151,14297576,sett24_4,3151,200,3500,1750,0.45,0.3,10,6,0.2,0.95,700,0.24,0.5,787.6,519.22,515.95,2.16794833886788,171.7600407545364,171.56697671754898
3152,59848227,sett24_4,3152,10,3000,1500,0.3,0.65,9,2,0.55,0.5,600,0.2,0.5,80.2,480.0,13.0,9.410632284814874,240.0,6.6932802122726045
3153,31974925,sett24_4,3153,6,2500,2500,0.9,0.15,2,5,0.9,0.3,500,0.18,1.0,2249.3333333333335,77.0,72.33333333333333,11.025223605694151,94.43516294262427,89.19765816557194
3154,2708408,sett24_4,3154,4,3500,1750,0.1,0.85,2,8,0.8,0.4,700,0.32,0.5,47.666666666666664,233.33333333333337,6.333333333333333,39.96943276499625,329.98316455372213,8.956685895029603
3155,34138678,sett24_4,3155,4,2500,1250,0.65,0.05,1,6,0.7,0.6,500,0.42,0.5,1073.0,0.0,0.0,135.47201433014374,0.0,0.0
3156,66018790,sett24_4,3156,5,2500,2500,0.95,0.85,4,0,0.35,0.75,500,0.18,1.0,2359.6666666666665,333.3333333333333,319.6666666666667,51.74510175422941,235.70226039551585,226.1449879072175
3157,48493386,sett24_4,3157,4,4000,2000,0.75,0.1,2,10,0.15,0.5,800,0.34,0.5,1395.0,1893.3333333333333,472.0,855.5992052357225,1378.0501522884508,638.0407510496489
3158,54876873,sett24_4,3158,11,500,500,0.65,0.8,10,7,0.3,0.65,100,0.4,1.0,325.6666666666667,83.33333333333333,54.0,8.076027626390477,37.26779962499649,24.186773244895647
3159,56794325,sett24_4,3159,15,4000,4000,0.55,0.1,10,5,0.7,0.85,800,0.02,1.0,1610.125,1972.0,820.75,25.037159882862113,1492.3971488849745,632.0768841683739
3160,94802174,sett24_4,3160,5,2500,2500,0.95,0.2,4,3,0.9,0.1,500,0.14,1.0,2322.6666666666665,333.3333333333333,166.33333333333334,245.84050836986887,235.70226039551585,235.2308558747248
3161,95379254,sett24_4,3161,4,4000,4000,0.4,0.4,3,2,0.7,0.6,800,0.14,1.0,1054.0,533.3333333333334,153.33333333333334,153.13392831113555,377.12361663282536,109.02395251605137
3162,95697886,sett24_4,3162,7,4000,4000,0.45,0.95,6,9,0.35,0.3,800,0.22,1.0,1524.75,600.0,234.25,21.602951187279945,346.41016151377545,135.25970390326898
3163,35774523,sett24_4,3163,9,500,500,0.75,0.7,8,6,0.65,0.1,100,0.14,1.0,400.4,80.0,39.2,41.219412902175115,40.0,48.00999895855029
3164,86352238,sett24_4,3164,4,2000,2000,0.7,0.3,1,4,0.7,0.05,400,0.14,1.0,1352.0,0.0,0.0,30.243456592570013,0.0,0.0
3165,98244691,sett24_4,3165,8,2500,1250,0.15,0.4,7,9,0.2,0.25,500,0.48,0.5,19.0,375.0,4.5,0.0,216.50635094610965,2.598076211353316
3166,29617960,sett24_4,3166,6,3000,1500,0.2,0.15,3,10,0.65,0.6,600,0.32,0.5,21.666666666666668,235.33333333333337,8.666666666666666,13.474255287605155,252.75196449395904,8.9566858950296
3167,3906364,sett24_4,3167,4,3500,3500,0.6,0.55,1,0,0.7,0.05,700,0.26,1.0,1886.3333333333333,0.0,0.0,99.4797578516465,0.0,0.0
3168,7489911,sett24_4,3168,4,2500,2500,0.4,0.8,1,3,0.65,0.65,500,0.34,1.0,620.3333333333334,0.0,0.0,94.88706737778102,0.0,0.0
3169,15414444,sett24_4,3169,4,1000,500,0.4,0.4,3,8,0.75,0.2,200,0.32,0.5,246.0,133.33333333333334,39.333333333333336,47.81213235152768,94.28090415820634,29.227080289043965
3170,14882067,sett24_4,3170,8,2500,2500,0.7,0.9,7,7,0.3,0.25,500,0.34,1.0,1732.5,375.0,327.25,26.63174797117155,216.50635094610965,189.2767484399497
3171,92339661,sett24_4,3171,20,2500,1250,0.35,0.1,7,7,0.9,0.35,500,0.32,0.5,165.5,283.5,30.6,68.81460600773647,316.3840229847266,45.078154354409854
3172,37063529,sett24_4,3172,11,3500,1750,0.15,0.9,10,8,0.65,0.05,700,0.5,0.5,0.5,583.3333333333334,0.0,1.118033988749895,260.87459737497545,0.0
3173,83730332,sett24_4,3173,13,4000,4000,0.25,0.25,9,6,0.25,0.45,800,0.12,1.0,296.42857142857144,641.1428571428571,155.0,1.049781318335648,513.2536072022509,110.27109451580812
3174,32274989,sett24_4,3174,7,3500,3500,0.8,0.75,6,5,0.6,0.4,700,0.04,1.0,2772.0,525.0,461.25,68.00367637120804,303.10889132455355,266.4839347878217
3175,27516978,sett24_4,3175,8,3000,1500,0.65,0.75,7,6,0.65,0.35,600,0.18,0.5,1029.5,450.0,237.5,33.44772040064913,259.8076211353316,139.15908162962273
3176,70786382,sett24_4,3176,10,500,500,0.3,0.45,9,9,0.25,0.55,100,0.02,1.0,74.6,80.0,7.2,0.8,40.0,3.6
3177,48833691,sett24_4,3177,16,3500,3500,0.8,0.25,10,0,0.25,0.6,700,0.14,1.0,2817.375,1334.125,1077.625,49.4720565066786,1506.3983070141178,1200.2279926643105
3178,84758276,sett24_4,3178,5,1500,750,0.7,0.7,4,10,0.3,0.35,300,0.3,0.5,680.0,200.0,156.0,53.23532661682466,141.4213562373095,110.98648566379602
3179,42007496,sett24_4,3179,4,500,500,0.45,0.7,2,0,0.9,0.15,100,0.18,1.0,212.66666666666663,33.333333333333336,14.333333333333334,13.02134998974974,47.14045207910317,20.27039439401436
3180,59761129,sett24_4,3180,9,4000,4000,0.55,0.8,8,1,0.9,0.95,800,0.14,1.0,1982.6,640.0,317.2,57.5451127377469,320.0,158.88914374493936
3181,8854496,sett24_4,3181,4,1500,750,0.95,0.8,3,9,0.3,0.5,300,0.02,0.5,750.0,200.0,160.0,0.0,141.4213562373095,113.56055653262712
3182,80703251,sett24_4,3182,20,2500,1250,0.45,0.2,7,5,0.75,0.7,500,0.38,0.5,252.9,81.1,15.0,12.16922347563722,89.57505233043406,18.45535152740256
3183,64327694,sett24_4,3183,4,4000,4000,0.2,0.5,2,1,0.1,0.85,800,0.02,1.0,208.66666666666663,266.6666666666667,11.666666666666666,29.101355447622865,377.12361663282536,16.49915822768611
3184,57953137,sett24_4,3184,4,2500,2500,0.25,0.85,1,8,0.55,0.1,500,0.46,1.0,169.66666666666666,0.0,0.0,71.98302268976731,0.0,0.0
3185,33923758,sett24_4,3185,10,1000,1000,0.25,0.95,9,9,0.15,0.4,200,0.38,1.0,158.6,160.0,24.0,0.8,80.0,12.0
